City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Foz,ES,43.5692,-7.2544,58.89,79,100,4.74,overcast clouds
80,Chiredzi,ZW,-21.05,31.6667,80.55,49,0,4.61,clear sky
81,Japura,ID,-0.3167,102.35,76.32,96,51,1.05,broken clouds
82,Airai,TL,-8.9266,125.4092,58.66,71,50,1.99,scattered clouds
83,Ponta Do Sol,PT,32.6667,-17.1,70.72,62,12,8.12,few clouds
84,Ilulissat,GL,69.2167,-51.1,30.22,74,75,3.44,broken clouds
85,Ketchikan,US,55.3422,-131.6461,44.58,94,100,6.17,light rain
86,Chokurdakh,RU,70.6333,147.9167,-14.28,100,79,3.11,broken clouds
87,Nanortalik,GL,60.1432,-45.2371,38.8,86,93,4.54,overcast clouds
88,Labuhan,ID,-6.8844,112.2051,80.01,84,100,3.78,overcast clouds
89,Dwarka,IN,22.2394,68.9678,83.32,69,0,10.89,clear sky
90,Georgetown,MY,5.4112,100.3354,84.13,92,40,4.61,thunderstorm with light rain
91,Rikitea,PF,-23.1203,-134.9692,73.99,79,100,6.49,light rain
92,Port Hardy,CA,50.6996,-127.4199,46.58,81,75,11.5,broken clouds
93,Norden,DE,53.6,7.2,57.94,70,2,17.92,clear sky
94,Fairbanks,US,64.8378,-147.7164,32.59,81,0,0.0,clear sky
95,Poya,NC,-21.35,165.15,70.72,92,84,7.58,broken clouds
96,Mahebourg,MU,-20.4081,57.7,75.49,83,75,19.57,broken clouds
97,New Norfolk,AU,-42.7826,147.0587,55.92,83,56,1.25,broken clouds
98,Ust-Omchug,RU,61.15,149.6333,12.96,97,100,4.07,overcast clouds
99,Shingu,JP,33.7333,135.9833,63.66,94,100,3.31,overcast clouds
100,Elizabeth City,US,36.2946,-76.2511,80.04,65,0,11.99,clear sky
101,Potiskum,NG,11.7091,11.0694,104.07,13,100,4.97,overcast clouds
102,Muslyumovo,RU,55.3033,53.1947,55.49,63,90,9.33,overcast clouds
103,Katsuura,JP,35.1333,140.3,62.62,93,100,9.82,overcast clouds
104,Chifeng,CN,42.2683,118.9636,58.84,32,31,11.32,scattered clouds
105,Tuatapere,NZ,-46.1333,167.6833,51.48,89,99,6.42,overcast clouds
106,San Policarpo,PH,12.1791,125.5072,77.68,92,100,5.37,moderate rain
107,Catamarca,AR,-28.4696,-65.7852,83.59,43,0,4.29,clear sky
108,Novikovo,RU,51.1537,37.8879,58.06,72,82,10.22,broken clouds
109,Namibe,AO,-15.1961,12.1522,73.44,74,13,9.26,few clouds
110,Hermanus,ZA,-34.4187,19.2345,62.8,75,11,9.84,light rain
111,Hithadhoo,MV,-0.6,73.0833,84.29,72,91,9.1,overcast clouds
112,Corn Island,NI,12.1694,-83.0418,80.13,78,10,8.5,clear sky
113,Tromso,NO,69.6496,18.957,41.02,81,75,9.22,broken clouds
114,Asekeyevo,RU,53.5742,52.7972,54.93,68,100,4.7,overcast clouds
115,Halifax,CA,44.6453,-63.5724,43.68,59,74,18.01,broken clouds
116,Kavaratti,IN,10.5669,72.642,85.1,70,87,4.23,overcast clouds
117,Adrar,MR,20.5022,-10.0711,91.69,15,0,14.58,clear sky
